months,years,complex_subgroup,insecticide_class,percentage_mortality,resistance_class,lulc,rainfall,temperature,humidity,population_density
9,2008,Gambiae Complex,carbamate,100,,10,41.37731525,30.00735463,6163,2556
9,2008,Gambiae Complex,pyrethroid,100,,10,41.37731525,30.00735463,6163,2556
9,2008,Gambiae Complex,organophosphate,100,,10,41.37731525,30.00735463,6157,2556
9,2008,Gambiae Complex,organophosphate,100,,13,16.10725358,30.26943288,5414,2556
9,2008,Gambiae Complex,organochlorine,100,,12,47.453703,29.97162225,6308,2556
9,2008,Gambiae Complex,organophosphate,100,,9,68.0941355,29.83067075,6387,2556
7,2010,Gambiae Complex,organophosphate,100,,10,47.2296885,30.128189,5978,2482
7,2010,Gambiae Complex,carbamate,100,,10,47.2296885,30.128189,5978,2482
9,2010,Gambiae Complex,organophosphate,100,,10,18.80787025,30.21355038,6326,2482
2,2001,Funestus Subgroup,carbamate,100,,8,136.82209,29.39919575,6820,2460
2,2001,Funestus Subgroup,organophosphate,100,,8,136.82209,29.39919575,6820,2460
2,2001,Funestus Subgroup,organochlorine,100,,8,136.82209,29.39919575,6820,2460
2,2001,Gambiae Complex,organochlorine,100,,8,136.82209,29.39919575,6820,2460
3,2001,Gambiae Complex,pyrethroid,100,,10,38.73581325,29.70754513,6211,2460
3,2001,Gambiae Complex,organochlorine,100,,10,38.73581325,29.70754513,6211,2460
3,2001,Gambiae Complex,pyrethroid,100,,10,31.455346,29.69957625,6203,2460
3,2001,Gambiae Complex,organochlorine,100,,10,31.455346,29.69957625,6203,2460
3,2001,Gambiae Complex,organochlorine,100,,10,35.4689375,29.72130688,6193,2460
3,2001,Gambiae Complex,pyrethroid,100,,10,35.748955,29.72614213,6191,2460
3,2001,Gambiae Complex,organochlorine,100,,10,39.48252625,29.69452838,6245,2460
3,2001,Gambiae Complex,organochlorine,100,,10,35.748955,29.72614213,6191,2460
3,2001,Gambiae Complex,organochlorine,100,,10,18.947879,29.47255563,6082,2460
3,2001,Gambiae Complex,pyrethroid,100,,10,40.1359035,29.6759035,6232,2460
3,2001,Gambiae Complex,organochlorine,100,,10,40.1359035,29.6759035,6232,2460
6,2014,Gambiae Complex,organophosphate,100,,12,14.08179038,29.499605,6049,2432
6,2014,Gambiae Complex,carbamate,100,,12,14.08179038,29.499605,6049,2432
12,2011,Gambiae Complex,carbamate,100,,14,2.5201613,30.06002463,6347,2193
1,2012,Funestus Subgroup,carbamate,100,,9,28.74850675,29.9137505,5796,2193
1,2012,Gambiae Complex,pyrethroid,100,,9,28.74850675,29.9137505,5796,2193
2,2012,Gambiae Complex,carbamate,100,,10,25.4430075,29.72177938,6150,2193
2,2012,Gambiae Complex,pyrethroid,100,,10,25.4430075,29.72177938,6150,2193
2,2012,Gambiae Complex,organophosphate,100,,10,25.4430075,29.72177938,6150,2193
2,2012,Gambiae Complex,pyrethroid,100,,9,12.8711685,29.521576,6461,2193
2,2012,Gambiae Complex,organochlorine,100,,8,30.4318325,29.602829,6157,2193
6,2005,Gambiae Complex,organophosphate,100,,0,142.264665,29.96642113,6769,2172
6,2005,Gambiae Complex,organophosphate,100,,0,142.264665,29.96642113,6769,2172
2,2009,Gambiae Complex,organochlorine,100,,0,15.5009925,30.19703263,6471,1820
8,2006,Gambiae Complex,pyrethroid,100,,12,88.48566,29.865399,6352,1819
12,2006,Gambiae Complex,pyrethroid,100,,13,3.5468938,29.96638425,5566,1819
4,2010,Gambiae Complex,carbamate,100,,13,119.8881163,30.02130013,6749,1724
4,2010,Gambiae Complex,organophosphate,100,,13,119.8881163,30.02130013,6749,1724
4,2010,Gambiae Complex,organophosphate,100,,2,113.040122,30.03352963,6747,1724
4,2010,Gambiae Complex,carbamate,100,,2,113.040122,30.03352963,6747,1724
4,2010,Gambiae Complex,carbamate,100,,13,122.8780888,30.02907863,6707,1724
4,2010,Gambiae Complex,organophosphate,100,,13,122.8780888,30.02907863,6707,1724
4,2010,Gambiae Complex,carbamate,100,,13,123.939039,30.01787788,6766,1724
4,2010,Gambiae Complex,organophosphate,100,,13,123.939039,30.01787788,6766,1724
4,2010,Gambiae Complex,carbamate,100,,13,113.908178,30.03285475,6722,1724
4,2010,Gambiae Complex,organophosphate,100,,13,113.908178,30.03285475,6722,1724
1,2009,Gambiae Complex,carbamate,100,,13,0,29.77358788,4049,1695
1,2009,Gambiae Complex,organophosphate,100,,13,0,29.77358788,4049,1695
7,2010,Gambiae Complex,organophosphate,100,,10,49.843191,30.2583815,5785,1566
9,2009,Gambiae Complex,pyrethroid,100,,10,6.847994025,29.9207165,5778,1479
9,2009,Gambiae Complex,pyrethroid,100,,10,6.847994025,29.9207165,5778,1479
9,2009,Gambiae Complex,pyrethroid,100,,14,36.940586,29.86019163,6739,1479
9,2009,Gambiae Complex,carbamate,100,,14,36.940586,29.86019163,6739,1479
10,2006,Gambiae Complex,organophosphate,100,,12,28.1884715,29.97592113,5754,1454
10,2006,Gambiae Complex,pyrethroid,100,,14,56.7502985,29.52223963,5859,1454
10,2006,Gambiae Complex,pyrethroid,100,,4,14.56093225,29.840362,5832,1454
10,2006,Gambiae Complex,organochlorine,100,,4,14.56093225,29.840362,5832,1454
10,2006,Gambiae Complex,pyrethroid,100,,10,13.44086075,29.84717363,6068,1454
2,2014,Funestus Subgroup,pyrethroid,100,,10,102.6165685,29.34918613,6990,1454
2,2014,Funestus Subgroup,organochlorine,100,,10,102.6165685,29.34918613,6990,1454
2,2014,Gambiae Complex,organophosphate,100,,8,79.7784425,29.52837013,6785,1454
2,2014,Funestus Subgroup,organophosphate,100,,5,95.48611,29.34092488,6850,1454
2,2014,Funestus Subgroup,organophosphate,100,,9,92.902615,29.45769438,6652,1454
2,2014,Funestus Subgroup,organophosphate,100,,8,79.8817795,29.32572863,6859,1454
2,2014,Gambiae Complex,organophosphate,100,,9,108.8169663,29.35758325,6580,1454
2,2014,Funestus Subgroup,organophosphate,100,,9,108.8169663,29.35758325,6580,1454
9,2014,Gambiae Complex,carbamate,100,,9,139.6604925,29.83784213,6549,1447
9,2014,Gambiae Complex,pyrethroid,100,,9,139.6604925,29.83784213,6549,1447
11,2014,Gambiae Complex,organophosphate,100,,13,58.06327175,29.99554688,6821,1447
6,2016,Gambiae Complex,carbamate,100,,12,78.89660375,29.28305213,6043,1434
6,2016,Gambiae Complex,organophosphate,100,,12,78.89660375,29.28305213,6043,1434
9,2009,Gambiae Complex,organophosphate,100,,10,6.847994025,29.9207165,5778,1420
9,2009,Gambiae Complex,carbamate,100,,14,35.39737625,29.88937125,6741,1420
6,2015,Gambiae Complex,carbamate,100,,12,97.9938245,29.930304,6760,1387
5,2005,Gambiae Complex,pyrethroid,100,,13,81.765235,30.00068763,6660,1366
5,2005,Gambiae Complex,pyrethroid,100,,13,81.765235,30.00068763,6660,1366
7,2010,Gambiae Complex,organophosphate,100,,16,17.26777175,30.72389788,4957,1326
7,2010,Gambiae Complex,carbamate,100,,16,17.26777175,30.72389788,4957,1326
1,2009,Funestus Subgroup,organochlorine,100,,10,49.4698305,30.0005085,6195,1277
1,2009,Funestus Subgroup,organophosphate,100,,10,49.4698305,30.0005085,6195,1277
1,2009,Gambiae Complex,organophosphate,100,,10,0,29.7953195,3916,1277
10,2009,Gambiae Complex,carbamate,100,,13,2.5201613,30.3811185,3863,1277
10,2009,Gambiae Complex,carbamate,100,,10,2.3334827,30.3020255,3998,1277
3,2001,Gambiae Complex,pyrethroid,100,,10,38.73581325,29.69698188,6254,1240
3,2001,Gambiae Complex,organochlorine,100,,10,38.829152,29.68357,6189,1240
3,2001,Gambiae Complex,pyrethroid,100,,6,30.05525675,29.67140038,6495,1240
3,2001,Gambiae Complex,organochlorine,100,,10,39.0158295,29.7012955,6217,1240
3,2001,Gambiae Complex,organochlorine,100,,10,39.48252625,29.70104538,6230,1240
3,2001,Gambiae Complex,pyrethroid,100,,10,39.3891875,29.6985615,6229,1240
3,2001,Gambiae Complex,pyrethroid,100,,10,38.829152,29.68357,6189,1240
3,2001,Gambiae Complex,organochlorine,100,,10,35.1889185,29.66512813,6021,1240
3,2001,Gambiae Complex,pyrethroid,100,,10,24.361559,29.7333455,6169,1240
3,2001,Gambiae Complex,organochlorine,100,,10,23.8015235,29.73115213,6166,1240
10,2014,Funestus Subgroup,carbamate,100,,9,83.1653245,29.80356913,6551,1222
3,2010,Gambiae Complex,carbamate,100,,12,30.80197225,30.20751813,6442,1176
2,2009,Gambiae Complex,pyrethroid,100,,14,14.984293,30.1975335,6240,1143
2,2009,Gambiae Complex,pyrethroid,100,,12,13.74421325,30.20933963,6337,1143
2,2009,Gambiae Complex,pyrethroid,100,,14,14.984293,30.23558788,6170,1143
2,2009,Gambiae Complex,pyrethroid,100,,14,14.467593,30.21794963,6147,1143
2,2009,Gambiae Complex,pyrethroid,100,,13,15.1909725,30.20025088,6432,1143
2,2009,Gambiae Complex,pyrethroid,100,,9,12.81415325,30.20150863,6268,1143
2,2009,Gambiae Complex,pyrethroid,100,,8,14.05423325,30.18943275,6458,1143
2,2009,Gambiae Complex,pyrethroid,100,,13,15.1909725,30.19972338,6444,1143
2,2009,Gambiae Complex,pyrethroid,100,,13,15.5009925,30.19884275,6451,1143
3,2010,Gambiae Complex,carbamate,100,,10,30.33527438,30.21276413,6412,1135
7,2001,Gambiae Complex,pyrethroid,100,,14,46.48297375,29.78925975,6742,1080
7,2001,Gambiae Complex,pyrethroid,100,,0,44.70953,29.82123638,6428,1080
4,2001,Gambiae Complex,pyrethroid,100,,0,65.2970675,30.094688,6707,1026
4,2001,Gambiae Complex,organochlorine,100,,0,58.2561725,30.09969725,6598,1026
5,2001,Funestus Subgroup,pyrethroid,100,,17,56.750301,29.45509538,6772,1026
5,2001,Funestus Subgroup,pyrethroid,100,,14,56.190261,29.4474985,6841,1026
7,2009,Gambiae Complex,pyrethroid,100,,10,35.002241,30.30349388,5689,946
8,2009,Gambiae Complex,organophosphate,100,,10,97.35289875,29.7756235,6836,946
8,2009,Gambiae Complex,organophosphate,100,,12,98.8463245,29.91922175,6634,946
5,2015,Gambiae Complex,pyrethroid,100,,9,7.8405021,29.27375375,5539,916
5,2015,Gambiae Complex,pyrethroid,100,,9,7.8405021,29.27375375,5539,916
5,2015,Gambiae Complex,organochlorine,100,,9,7.8405021,29.27375375,5539,916
5,2015,Gambiae Complex,organophosphate,100,,9,7.8405021,29.27375375,5539,916
5,2015,Gambiae Complex,carbamate,100,,9,7.8405021,29.27375375,5539,916
7,2011,Gambiae Complex,pyrethroid,100,,10,26.9750595,29.483111,5620,882
7,2011,Gambiae Complex,pyrethroid,100,,10,32.6687575,29.42542938,5593,882
2,2013,Funestus Subgroup,organophosphate,100,,8,98.58631125,29.74201775,6528,871
2,2013,Funestus Subgroup,organophosphate,100,,8,98.58631125,29.74201775,6528,871
2,2013,Funestus Subgroup,organochlorine,100,,8,98.58631125,29.74201775,6528,871
6,2013,Gambiae Complex,carbamate,100,,9,55.36265625,29.54588813,5791,857
6,2013,Gambiae Complex,pyrethroid,100,,10,47.2608025,29.53520213,5757,857
6,2013,Gambiae Complex,carbamate,100,,12,42.14891975,29.50647913,6018,857
6,2013,Gambiae Complex,pyrethroid,100,,12,48.22531025,29.47702225,5960,857
6,2013,Gambiae Complex,organophosphate,100,,12,76.581791,30.102766,6060,857
6,2013,Gambiae Complex,organophosphate,100,,10,55.94135825,30.13871238,6094,857
6,2013,Gambiae Complex,organophosphate,100,,10,77.0640425,30.10411013,6053,857
6,2013,Gambiae Complex,organophosphate,100,,12,77.160493,30.11772288,6000,857
2,2005,Funestus Subgroup,carbamate,100,,10,14.15757325,29.72873075,4852,784
2,2005,Funestus Subgroup,pyrethroid,100,,10,14.15757325,29.72873075,4852,784
2,2005,Funestus Subgroup,organochlorine,100,,10,14.15757325,29.72873075,4852,784
2,2005,Funestus Subgroup,pyrethroid,100,,10,14.15757325,29.72873075,4852,784
